Compound,ID,NormInt,Sample.Type,Method,full_name,Class
ADMA,exGF11,0.093785037,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF17,0.092754777,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF12,0.064589647,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF18,0.09355724,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF07,0.088306225,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF13,0.067909527,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF19,0.070005494,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF09,0.087243761,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,exGF14,0.0939946,exGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF07,0.086719344,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF16,0.060668563,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF21,0.10874923,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF08,0.103421568,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF17,0.121802205,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF22,0.097354643,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF10,0.105636359,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF19,0.084275768,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF15,0.11430197,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,GF20,0.096504332,GF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sexGF1,0.067198217,sexGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sexGF2,0.073568324,sexGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sexGF3,0.057506397,sexGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sexGF4,0.072089084,sexGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sexGF5,0.07084124,sexGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sGF1,0.096846847,sGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sGF2,0.107922214,sGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sGF3,0.105981731,sGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sGF4,0.104630629,sGF,LC,Asymmetric dimethylarginine,Amino acid related
ADMA,sGF5,0.097880365,sGF,LC,Asymmetric dimethylarginine,Amino acid related
Ala,exGF10,3.497505577,exGF,LC,Alanine,Amino acids
Ala,exGF16,2.552291472,exGF,LC,Alanine,Amino acids
Ala,exGF11,4.13545242,exGF,LC,Alanine,Amino acids
Ala,exGF17,3.493241409,exGF,LC,Alanine,Amino acids
Ala,exGF12,3.859117402,exGF,LC,Alanine,Amino acids
Ala,exGF18,3.179892851,exGF,LC,Alanine,Amino acids
Ala,exGF07,3.546690572,exGF,LC,Alanine,Amino acids
Ala,exGF13,3.249855385,exGF,LC,Alanine,Amino acids
Ala,exGF19,3.549860559,exGF,LC,Alanine,Amino acids
Ala,exGF09,3.318881945,exGF,LC,Alanine,Amino acids
Ala,exGF14,4.211702855,exGF,LC,Alanine,Amino acids
Ala,GF07,3.136689309,GF,LC,Alanine,Amino acids
Ala,GF16,6.294900222,GF,LC,Alanine,Amino acids
Ala,GF21,4.274879227,GF,LC,Alanine,Amino acids
